axis,axis_label,distance_px,region,S,structure_corr,S_measurable,structure_corr_measurable,noise_level,sample_count_structure,noise_source,noise_corr,N,Q,sample_count_noise
z,t,3,all,0.9977368244527671,0.9977368244527671,0.8247251390659242,0.8247251390659242,F2,500000,proxy,0.004660845639938935,0.995339154360061,0.9930865271247099,500000
z,t,3,foreground,0.9946583826214803,0.9946583826214803,0.8091713977958248,0.8091713977958248,F2,500000,gt,0.0012284938919042358,0.9987715061080957,0.9934364508738984,500000
z,t,3,foreground,0.9946583826214803,0.9946583826214803,0.8091713977958248,0.8091713977958248,F2,500000,proxy,0.013589556161948754,0.9864104438380512,0.9811414166688925,500000
z,t,3,background,0.9996630779109514,0.9996630779109514,0.6098408014738975,0.6098408014738975,F2,500000,gt,0.000509405812146296,0.9994905941878537,0.9991538437288755,500000
z,t,3,background,0.9996630779109514,0.9996630779109514,0.6098408014738975,0.6098408014738975,F2,500000,proxy,0.004345633983625867,0.9956543660163741,0.9953189080674055,500000
z,t,4,all,0.9973062138927851,0.9973062138927851,0.8089913990861097,0.8089913990861097,F2,500000,gt,-2.7196381569447976e-05,0.9999728036184306,0.9972790907724505,500000
z,t,4,all,0.9973062138927851,0.9973062138927851,0.8089913990861097,0.8089913990861097,F2,500000,proxy,0.00619493031076321,0.9938050696892368,0.9911279713992281,500000
z,t,4,foreground,0.9905830046399319,0.9905830046399319,0.808646205228374,0.808646205228374,F2,500000,gt,0.001251605421050754,0.9987483945789493,0.9893431855813238,500000
z,t,4,foreground,0.9905830046399319,0.9905830046399319,0.808646205228374,0.808646205228374,F2,500000,proxy,0.012680583404766473,0.9873194165952335,0.978021834230251,500000
z,t,4,background,0.9994366345215041,0.9994366345215041,0.5960253930754844,0.5960253930754844,F2,500000,gt,0.0008201172906913657,0.9991798827093087,0.9986169792565827,500000
z,t,4,background,0.9994366345215041,0.9994366345215041,0.5960253930754844,0.5960253930754844,F2,500000,proxy,0.0026584558096908193,0.9973415441903092,0.9967796763940425,500000
z,t,5,all,0.9959335050616994,0.9959335050616994,0.8135216078391444,0.8135216078391444,F2,500000,gt,8.413324131549997e-05,0.9999158667586845,0.9958497139477839,500000
z,t,5,all,0.9959335050616994,0.9959335050616994,0.8135216078391444,0.8135216078391444,F2,500000,proxy,0.006710940095799745,0.9932890599042002,0.9892498549698304,500000
z,t,5,foreground,0.9864603839136282,0.9864603839136282,0.8140054090638662,0.8140054090638662,F2,500000,gt,-0.0015243666690031145,0.9984756333309969,0.9849566565840983,500000
z,t,5,foreground,0.9864603839136282,0.9864603839136282,0.8140054090638662,0.8140054090638662,F2,500000,proxy,0.009737808589697,0.990262191410303,0.9768544215137583,500000
z,t,5,background,0.9991826362606759,0.9991826362606759,0.5956159088487637,0.5956159088487637,F2,500000,gt,-0.00010565961547355137,0.9998943403845264,0.9990770630075407,500000
z,t,5,background,0.9991826362606759,0.9991826362606759,0.5956159088487637,0.5956159088487637,F2,500000,proxy,0.0038181785831437566,0.9961818214168563,0.9953675785182564,500000
z,t,6,all,0.9944006249867284,0.9944006249867284,0.8055696357579286,0.8055696357579286,F2,500000,gt,0.0006351974503311103,0.9993648025496689,0.9937689842451292,500000
z,t,6,all,0.9944006249867284,0.9944006249867284,0.8055696357579286,0.8055696357579286,F2,500000,proxy,0.007336926050263664,0.9926630739497363,0.9871047811368648,500000
z,t,6,foreground,0.9832824926694431,0.9832824926694431,0.8041742607990076,0.8041742607990076,F2,500000,gt,0.0007037854613130962,0.9992962145386869,0.9825904727467386,500000
z,t,6,foreground,0.9832824926694431,0.9832824926694431,0.8041742607990076,0.8041742607990076,F2,500000,proxy,0.010181772093477023,0.989818227906523,0.9732709344255769,500000
z,t,6,background,0.9988923761246468,0.9988923761246468,0.5938204016881852,0.5938204016881852,F2,500000,gt,-0.002078056992601761,0.9979219430073982,0.9968166208375844,500000
z,t,6,background,0.9988923761246468,0.9988923761246468,0.5938204016881852,0.5938204016881852,F2,500000,proxy,0.0005484638995387098,0.9994515361004613,0.998344519716818,500000
z,t,7,all,0.9922633767906903,0.9922633767906903,0.7943220798494046,0.7943220798494046,F2,500000,gt,-0.000335757422477178,0.9996642425775228,0.9919302169968806,500000
z,t,7,all,0.9922633767906903,0.9922633767906903,0.7943220798494046,0.7943220798494046,F2,500000,proxy,0.004262255819251548,0.9957377441807485,0.988034096438734,500000
z,t,7,foreground,0.976846379223663,0.976846379223663,0.8112608421809924,0.8112608421809924,F2,500000,gt,0.0017563604804495376,0.9982436395195504,0.9751306848477244,500000
z,t,7,foreground,0.976846379223663,0.976846379223663,0.8112608421809924,0.8112608421809924,F2,500000,proxy,0.012500778603597452,0.9874992213964026,0.9646350389072622,500000
z,t,7,background,0.998617399449358,0.998617399449358,0.593249456378043,0.593249456378043,F2,500000,gt,-0.0012894247074588798,0.9987105752925411,0.9973297575012097,500000
z,t,7,background,0.998617399449358,0.998617399449358,0.593249456378043,0.593249456378043,F2,500000,proxy,0.0023276178344131134,0.9976723821655868,0.9962929997806445,500000
z,t,8,all,0.9880163950142163,0.9880163950142163,0.8197925178588336,0.8197925178588336,F2,500000,gt,-0.00046913085889405126,0.999530869141106,0.987552886034222,500000
